timestamp,client_id,biz_name,campaign_id,campaign_name,keyword,platform,mode,device,status,duration_s,rank_position,rank_total,mentioned,rank_context,screenshot,response_text,error,proxy_ip,proxy_city,proxy_region,proxy_zip,prompt
2026-04-17 22:55:23,13,"West Valley Naturopathic Center, Goodyear",15,"West Valley Naturopathic Center, Goodyear — 1646 N Litchfield Rd #200, Goodyear, AZ 85395, USA",prp,Gemini,adb,adb-147263758M001636-LQbfNZ._adb-tls-con,success,152.5,,,,,audit_results/Gemini/13_prp_20260417_225250.png,audit_results/text/13_prp_20260417_225250_Gemini.txt,,,,,,"Top 3 businesses for prp in Valley Village, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank YOR Construction, Los Angeles () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 22:55:24,13,"West Valley Naturopathic Center, Goodyear",15,"West Valley Naturopathic Center, Goodyear — 1646 N Litchfield Rd #200, Goodyear, AZ 85395, USA",detox iv therapy,Gemini,adb,adb-0B64C27G23101E10-GJbgVo._adb-tls-con,success,156.8,,,,,audit_results/Gemini/13_detox-iv-therapy_20260417_225247.png,audit_results/text/13_detox-iv-therapy_20260417_225247_Gemini.txt,,,,,,"Top 3 businesses for detox iv therapy in Valley Village, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank YOR Construction, Los Angeles () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 22:55:29,13,"West Valley Naturopathic Center, Goodyear",15,"West Valley Naturopathic Center, Goodyear — 1646 N Litchfield Rd #200, Goodyear, AZ 85395, USA",iv hydration goodyear az,Gemini,adb,192.168.254.201:37313,success,165.2,,,,,audit_results/Gemini/13_iv-hydration-goodyear-az_20260417_225244.png,audit_results/text/13_iv-hydration-goodyear-az_20260417_225244_Gemini.txt,,,,,,"Top 3 businesses for iv hydration goodyear az in Valley Village, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank YOR Construction, Los Angeles () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 22:55:32,13,"West Valley Naturopathic Center, Goodyear",15,"West Valley Naturopathic Center, Goodyear — 1646 N Litchfield Rd #200, Goodyear, AZ 85395, USA",iv therapy,Gemini,adb,adb-10HFBBFEBZ000RA-dvvJ3y (2)._adb-tls-,success,163.0,,,,,audit_results/Gemini/13_iv-therapy_20260417_225249.png,audit_results/text/13_iv-therapy_20260417_225249_Gemini.txt,,,,,,"Top 3 businesses for iv therapy in Valley Village, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank YOR Construction, Los Angeles () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 23:18:06,13,"West Valley Naturopathic Center, Goodyear",15,"West Valley Naturopathic Center, Goodyear — 1646 N Litchfield Rd #200, Goodyear, AZ 85395, USA",iv hydration goodyear az,Gemini,adb,adb-0B64C27G23101E10-GJbgVo._adb-tls-con,success,133.2,4,12,yes,[RANK: 4/12],audit_results/Gemini/13_iv-hydration-goodyear-az_20260417_231553.png,audit_results/text/13_iv-hydration-goodyear-az_20260417_231553_Gemini.txt,,,,,,"Top 3 businesses for iv hydration goodyear az in Valley Village, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank YOR Construction, Los Angeles () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 23:18:07,13,"West Valley Naturopathic Center, Goodyear",15,"West Valley Naturopathic Center, Goodyear — 1646 N Litchfield Rd #200, Goodyear, AZ 85395, USA",iv therapy,Gemini,adb,adb-147263758M001636-LQbfNZ._adb-tls-con,success,129.7,4,12,yes,[RANK: 4/12],audit_results/Gemini/13_iv-therapy_20260417_231557.png,audit_results/text/13_iv-therapy_20260417_231557_Gemini.txt,,,,,,"Top 3 businesses for iv therapy in Valley Village, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank YOR Construction, Los Angeles () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 23:18:07,13,"West Valley Naturopathic Center, Goodyear",15,"West Valley Naturopathic Center, Goodyear — 1646 N Litchfield Rd #200, Goodyear, AZ 85395, USA",detox iv therapy,Gemini,adb,adb-10HFBBFEBZ000RA-dvvJ3y (2)._adb-tls-,success,132.7,4,12,yes,[RANK: 4/12],audit_results/Gemini/13_detox-iv-therapy_20260417_231555.png,audit_results/text/13_detox-iv-therapy_20260417_231555_Gemini.txt,,,,,,"Top 3 businesses for detox iv therapy in Valley Village, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank YOR Construction, Los Angeles () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 23:18:12,15,"Diamond Auto Salon, Westlake Village",17,"Diamond Auto Salon, Westlake Village — 2260 Townsgate Road STE 3, Westlake Village, CA 91361-2437, USA",vehicle wrap,Gemini,adb,adb-149145555W006788-Vb9M0e._adb-tls-con,success,119.4,1,25,yes,[RANK: 1/25],audit_results/Gemini/15_vehicle-wrap_20260417_231613.png,audit_results/text/15_vehicle-wrap_20260417_231613_Gemini.txt,,,,,,"Top 3 businesses for vehicle wrap in Palo Alto, CA. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank GYMGUYZ Silicon Valley, Palo Alto () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 23:18:13,14,"ABCey Events, San Francisco",16,"ABCey Events, San Francisco — 164 Delmar St, San Francisco, CA 94117, USA",Executive Offsite,Gemini,adb,adb-1490455613010287-g9bnc8._adb-tls-con,success,132.0,6,45,yes,[RANK: 6/45],audit_results/Gemini/14_executive-offsite_20260417_231601.png,audit_results/text/14_executive-offsite_20260417_231601_Gemini.txt,,,,,,"Top 3 businesses for Executive Offsite in Bandon, OR. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank Red Tree LLC - General Contractor in Coos County, Oregon () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
2026-04-17 23:18:13,14,"ABCey Events, San Francisco",16,"ABCey Events, San Francisco — 164 Delmar St, San Francisco, CA 94117, USA",Executive Retreat,Gemini,adb,adb-149145555W001028-XsQtPA._adb-tls-con,success,130.6,12,282,yes,[RANK: 12/282],audit_results/Gemini/14_executive-retreat_20260417_231603.png,audit_results/text/14_executive-retreat_20260417_231603_Gemini.txt,,,,,,"Top 3 businesses for Executive Retreat in Bandon, OR. Format: numbered list, each entry: name, 2-3 sentence description of why they stand out, and whether they appear on Google Maps (yes/no). Do not include any maps, images, or embedded content — text only. After the list, rank Red Tree LLC - General Contractor in Coos County, Oregon () among all businesses in this space. You MUST include this exact line on its own: [RANK: X/Y] where X is the position and Y is total businesses (e.g., [RANK: 7/25]). Then one sentence explaining why. Keep entire response under 200 words."
